序号	语料
1499		 ꂿꄐ/v ꀉꁁꋍꑵ{ꄷ}ꈨ/mq ꁰꄻꌧꃀ/n 、/w ꁧꍪꁰꍋ/n ，/w  [ꅽ] /r (ꑬꅮ)ꎙꈩ/v ꀊ/u ꄮꇬ/n ꀉꄂꀒ/vl {ꌌꁈ}ꎹꐺꀉꉙ{ꀃꃀ}ꄸꀋꇈꃅ/a ꀊ/u ꁁꏯꉉ/v ꀋꇈꃅ/m ꅇꂷ/n ꅇ/n ꀹꁌ/v ꁰꍋꂷ/n ...ꑘ/v ꀞꅀ/u ？/w 
1500		  [ꅽ] /r ꀋꂿꑘ/vu ꁳ/p ꁰꍋꂷ/n ꃄꄟꁖ/v ꂱꑱꇗꂱꑱꇷꉻ/i ꀊ/u ꅺꌡ/n ，/w ꀉꁁꋍꑵ{ꄷ}ꈨ/mq ꀎ/a ꀊ/u ꁧꍪꁰꍋ/n ꀹꁌ/v ꁰꍋꂷ/n ꀋꃋ/nt ，/w ꀋꂿꑘ/vu ꁢꊧ/p ꁈꏂꁈꇭꀋꎪ/v ꀑꑊ{ꑫꈩ}ꁷꊭ/n ꀋꇎ/c ꀑꑊꀋꎪꌠ/n ꃅꄡꀑꑊ/n ꃄꄟꁖ/v ꂱꑱ式ꂱꑱꇷꉻ/i ꀊ/u ꅺꌡ/n {ꋍꑍ...}ꆏ/vd ，/w ꀉꁁ/r ꀊ/u ꌧꅍ/n ꀋꂿꑘ/vu ꇣꋲ/d ꇣꋲ/d ꀊ/u ꀊꅼ/a ，/w ꀱꁳ/p (ꌦ)ꑌꃅꎸ/ns ꃄꁕ/n ꀊ/u ꂓ/n ꈍꃅ/r {ꋍꑍ...}ꆏ/vd ꀊ/u ？/w 
1501		 ꋍꈭꐨ/c ，/w ꀉꁁꋍꑵ{ꄷ}ꈨ/mq ꋽꇐꌧꃀ/n ꍡꑫꀀ/v ꀉꁁꋍꑵ{ꄷ}ꈨ/mq ꆐꀋꅑ/a ꀊ/u ꀊꋾ/n ，/w ꍡꑫꀀ/v ꀉꁁꋍꑵ/m ꂷ/q ꀋꎪꀋꑴ/a ꀊ/u ꃅꄡ/n ，/w ꀉꉙꀉꄉ/c  [ꅽ] /r ꀭꍝ/v ꀐꍰꀎ/u ，/w ꀖꍰ/v ꀐꍰꀎ/u ，/w ꂯ/d ꀉꉙꀞ/vu ꀋꎪ/a 。/w 
1502		 ꀱ/p ꀂ(ꃶ)ꊈ/r ꁍꇩ/n ꀉꉙ/d ꁌꒉ/v ，/w ...ꇨ/d ꂿꉂ/v ...ꃅꀥꁧ/v ꀉꁁꇩꏤ/n ꀋꉊ/v ，/w  [ꅽ] /r ꀉꁁꋍꑵ/d ꀖꍰ/v ꀉꄂ/d {ꑽꏃ}ꏠ/a ，/w  [ꅽ] /r ꀭꍝ/v ꀐꍰ/d ꀉꉙꀉꁁꋍꑵꀋꎪ/d ꀭꍝ/v ꀱ/a 。/w 
1503		  [ꅽ] /r ꀀ/v ꀐ/u ꀋꎪꀋꑴ/a ꀊ/u ꃅꄡ/n ，/w ꀋꃉꀋꄸꄷ/c ꀖꍰ/v ꂷꊂ/n ꀐꍰꀒ/vl ꁢꊧꀐ/p {ꃅꄷꍔꃚ}ꐛꅉꀎ/v ꁒꐀ/n ，/w ꁰꄻꊿ/n ꀖꍰ/v ꀋꉾꁁꏯ/n ꀒ/vl ꉘꇉ/v ꀂ(ꃶ)ꊈ/r ꇩꏤ/n ꀋꑍꊂ/r ꀋꉾꁁꏯ/n ꀁꑌꇁ/v ...ꅀ...ꂯ/u ，/w {ꇇ}ꀯꀒ/d ꀉꆹꄜꅍ/a ꁖ/vd  [ꅽ] /r ꀊ/u ꒊꅍꃅ/n ，/w ꉬꇮ/dꀉꇨ/vu {ꆅ}ꄻ/v {ꀋ}ꉆ/u ꂥꀘ/a ，/w {ꃢꈜ}ꈚ/r ꀒ/vl ꀉꉙ{ꌬ}ꐓ/vu ꀀ/v ꈀꄸꉬꄿꂿ/r ꀋꐯꌠ/a ꀊ/u 。/w 
1504		 ꀎ/a ꀊ/u ꄆꒌ/n 、/w ꅇꉉꑫ/n ꀋꍑ/vl ꀉꄂ/d ꁁꏯꉉ/v {ꄷ}ꈨ/q ꀉꆹ{ꑘ}ꃅ/n ，/w ꀉꄂ/d ꀠ/v  [ꅽ] /r ꀉꁁꋍꑵ{ꄷ}ꈨ/mq ꀉꆹ{ꑘ}ꃅ/n ꀊ/u ，/w ꀊꄶꀒ/vl ꀨ/d ꀁꁧ/a ꀊ/u ꄆꒌ/n ，/w ꀨ/d ꀁꁧ/a ꀊ/u ꅇꉉꑫ/n 。/w 
1505		 ꀀꈨ/m ꈩ/n ꀀꈨ/m ꄆꒌ/n {ꆅ}ꄻꇧꁠ/v ꂾꃰꃅ/nt  [ꅽ] /r ꀀ/v ꀉꉙ/d {ꃢꈜ}ꈚ/v ꀀ/n 。/w 
1506		 ꃅꎸꁦꎆ/nh ꐋꀨ/n ꀋꐈꌠ/d ꁁꏯꉉ/v ，/w ꀨꀎ/a ꀊ/u ꄆꒌ/n ꀒ/vl ...ꄮ/p  [ꅽ] /r ꀥꁖ/v ꄆꒌꅉ/n ꀋꃋ/nt ꄡꑟ/vu ꁧ/p ꁭꅐ/nd ꀥ/v  [ꅽ] /r ꄙ/d ꀥꁧ/v ꁮꐚ/nd ꀋꉊ/v ꀐ/u 。/w 
1507		 {ꃢꈜ}ꈚ{ꄷ}ꈨ/r ꅇ/n ꀉꁁ/r ꃹ/p ꁱꇐ/n {ꉪꇩꏤꑵꉙ}ꃚꌐ/nd ꁁꏯꉉ过/v ꀎ{ꏯ}ꀋꋌ /m ꀉꁘ/q ，/w ꀂ(ꃶ)ꊈ/r ꄡꑟ/vu ꇖꂟ/v {ꃢꈜ}ꈚ{ꄷ}ꈨ/r ，/w {ꆅ}ꄻꇧꁠ/v ꄆꒌ/n ꄡꑟ/vu ꁧ/p ꃼꏯ/nd ꀥ/v ，/w  [ꅽ] /r ꄙ/d ꀥꁧ/v ꇀꑳ/nd ꀋꉊ/v ꀐ/u 。/w 
1508		 ꀀꀊ/r ꄆꒌ/n ꀋꇎ/c ꈩ(ꍡ)ꑫ/n ꅉꀕ/d ꇖꂟ/v ꀉꁁꋍꑵ/m ꇗ/q ꁌꆓ/n ꀊ/u ꂿꄐ/n ，/w {ꃢꈜ}ꈚ/r ꇗ/q ꈩ/n ꀒ/vl ꍡꑫꀀ/v (ꀉꑳ)ꒆꀑꇬꄐꅍ/n ꀊ/u ，/w ꁰꍋꇧꁠ/v ꀉꄂ/d ꇧꁠꀐ/v ，/w ꍡꑫꀀ/v Zꏃ{ꀀ}ꄓ/v  [ꅽ] /r ꀊꅰ/d {ꏯ}ꀋꋌ /a ꀊ/u ꉪꏡ/v ，/w ꀱ/p ꀑꑊ(ꀉꑳ)ꒆ/n ꀊ/u ꉪꏡ/v ，/w ꀱ/p ꉂ/n ꀊ/u ꉪꏡ/v ，/w ꀱ/p ꇫꐥ/n ꀠꀋꄿꁁꏯ/n ꀊ/u ꉪꏡ/v ꆌꆌ/u 。/w 
1509		 ꀉꄂ/c ꀉꉙ/d ꆌꁳ/v  [ꅽ] /r ꁰꍋ/v ꀐ/u ꌳꈄ/n ꀉꄂ/dꀉꇨ/vu ...ꄮ/v ꀨꇂꃴꂶꌠ/h ꀯꍈ/n ，/w {ꃢꈜ}ꈚ/r ꀒ/vl ꆂꀱ{ꑘ}ꃅ/n 。/w 
1510		  [ꅽ] /r ꀐꍰ/d ꀉꇨ/v ꀐ/u ꇝꂱꁏꌠ/n ？/w 
1511		 ꀂ/r ꃹ/p ꑚꌋꈤ/nl ꀊ/u ꀉꁁꋍꑵ{ꄷ}ꈨ/mq ꇓꈓ/n ꁵꁧ/v {ꃢꈜ}ꈚꇷꉻ/r ꀉꁁꋍꑵ/m ꁱꐘ/n ꀉꒆꅉ{ꑘ}ꃅ/n ：/w ꀉꁁꋍꑵ{ꄷ}ꈨ/mq ꄻꁰꍋ/vꄯꃷ/n ꀊ/u ꁰꍋꂷ/n ，/w {ꉘꁮꑭꎖ}ꌐꄀꄯꁯꁰꍋ/v {ꀋ}ꉆ/u ꐯ/d ꃅꐛ/a ，/w ꁰꀕꀉꇨꄺꀱ/n {ꄉ}ꄐ/nd ꀀꀨ/p ꄳ/v ꁖ{ꋍꑍ...}ꆏ/vd ꃅ/v ，/w ꅲ/v ꀉꁁ/r ꁢꊧꄲꃅ/r ꁰꍋ/v ꄯꃷ/n ꁰꍋ/v {ꀋ}ꉆ/u ꀋꇈ/r ꀎ/a ，/w ꀋꎪꀒ/vl  [ꅽ] /r ꀉꄂ/d ꀀ/v {ꃢꈜ}ꈚꇷꉻ/r ꀊ/u ꐩꋊ/n ，/w ꁳ/p ...ꑌ...ꑌ{ꉪꇩꏤꑵꉙ}ꃚꌐ/v ꇇꎤ/n {ꇇꊭ}ꈬꑳꐁꅉ/v {ꀀ}ꄓ{ꋍꑍ...}ꆏ/vd ，/w {ꃢꈜ}ꈚ/r ꀉꄂꀒ/d ꁢꊧ/p ꀊꄶ{ꄷ}ꈨ/r ꀉꄂꃅꄡꀀꁈꄰꂟ/n ꄟꀊꄸꄷ{ꉪꇩꏤꑵꉙ}ꃚꌐꋒꃅ/n ꀊ/u ꇊꏹ/n {ꋍꑍ...}ꆏ/vd ꀊ/u 。/w 
1512		  [ꅽ] /r ꀋꂿꑘ/vu ꉜꐋ/n {ꆅ}ꄻ{ꀋ}ꉆꀉꒆꅉ/v ，/w  [ꅽ] /r ꀉꄂꀋꂿꑘ/vu ꀉꒆꅉ/d ꀀ/v {ꃢꈜ}ꈚ/r ꇗ/q ꉂꏣ/n ꀋꇎ/c ꉜꇬ/n ，/w ꀉꉙꀋꋪꃅꐙ/c ꈍꃅ/r ꀞ/vu ꀋꄸꄷ/v ꉜꐋ/n ꀿ(ꀉꑳ)ꒆ/v ꀉꒆꅉꀊ/a ꉜꇬ/n ...ꅀ...ꂯ/u ？/w 
1513		 ꅺꌡ(ꅇ)ꉉ/c ，/w  [ꅽ] /r ꍡꑫꀀ/v ꃚ/v ꀈ꒜/u ꀑꑊ/n ，/w ꀉꄂ/c  [ꅽ] /r ꀍꇤ{ꁮꐚ}ꆈꒉꀕꌠ/v ꀈ꒜/u ꀉꉌ/n ，/w ꀉꉌ/n ꀋꇈ/p  [ꅽ] /r ꀨ/d ꃅꄡ...ꇬꎷ/a ꀊ/u ꀮꇐ/n ꄔꈻ/v ꀐ/u ，/w  [ꅽ] /r ꉌꀋꌸ/v ꀊ/u ꎐꏂꃴꆀꀕ/i ꀉꄂ/d ꇨꇅꃃ/v ꀋꂿꑘ/vu ꀋꇈ/p ꄣ/r {ꀆꐒ}ꎹ{ꁮꐚ}ꆈꒉꀕꌠ/v 。/w 
1514		 ꀊꇙꀕ/d ꀒ/vl ꊿꀋꂄ/n ꃚꀑꑊ/v  [ꅽ] /r ꁰꍋꀉꇨ/v ꌳꈄ/n {ꇝꂱꏭꁏꌠ}ꀞ/v ，/w ꀊꄶ/r ꀉꄂꀒ/d ...ꈭꐨ/r ꀉꁁꋍꑵꀱ{ꑘ}ꃅ/n ꀐ/u 。/w 
1515		 {ꎆꃀ}ꃸꅐ/p ꍔꍞ/n ꉆꅉ/n 、/w ꀭꌾꅳꆷ/n {ꋍꑍ...}ꆏ/vd ꆦ/v {ꉘꁮꑭꎖ}ꌐꄀꄯꁯꁰꍋ/v ꇇꅖ/n ꀒ/vl ꀉꉙꀱ/a ꀊ/u ，/w ꀒ/vl ꃼꎎ/a ꀊ/u ，/w ꑞꃅꑠꃅꐙ /c ꀂ(ꃶ)ꊈ/r ꀋꂿꑘ/vu ꆼꋏ/v ꀛꐂ...ꅉ/n ꇇꅖ/n ，/w ꀋꂿꑘ/vu ꀋꇈ/p ꀛꐂ...ꅉ/n {ꉪꇩꏤꑵꉙ}ꃚꌐ/nd ꀊ/u ꀊꆠꌠ/a ꐛ/v ꀉꒆꅉ/a ，/w ꀋꂿꑘ/vu ꀀ/v ꀉꁁꋍꑵꈧꌠ/a ꀊ/u {ꉘꁮꑭꎖ}ꌐꄀꄯꁯꁰꍋ/v ꇇꅖ/n ꀊ/u ꁰꍋ/v ，/w ꀛꐂ...ꅉ/n {ꉪꇩꏤꑵꉙ}ꃚꌐ/nd ꂯ/d ꀒ/vl ꀊꆠꌠ/a ꀊ/u ，/w ꀎꈠꆺꇬ/d  [ꅽ] /r ꑴꅉ/n ꀉꄂ/d ꀋꍑ/vl  [ꅽ] /r ꄻꁰꍋ/v ꀊ/u ꀊꄶ/r {ꄷ}ꈨ/q ꀑꑊ/n 。/w 
1516		 ꀂ(ꃶ)ꊈ/r 以/p ꀊꃋꐛꐨ/n ꇫꐥ/n ꁢꊧ/vl {ꃷꋪꈴꄉ}ꏤꄉꌠ/n ：/w ꋋꇅꇬ/nt ꋋꃅꄷ/n ，/w ꃹ/p ꀂ/r ꅇꉉ/v ꀊ/u ꈭꎂ/n {ꄉ}ꄐ/nd ，/w  [ꅽ] (ꃶ)ꊈ/r ꃹ/p {ꉢ}ꐥꂿꀉꒆꅉ/a ꃄꁕ/u ꄿꐨ/v ，/w ꀋꍑ/vl ꁰꄻꁖ/v ꄿꐨ/v ꀊ/u ꇷꉻ{ꐯ}ꄳꊰ/n ，/w ꀊꄸꄷꀊꉗ/c ꀐꍰ/d ꀉꉙ...ꌋꆀꐯꌟ/a ꃅꐙ/n ꀊ/u ꀀ/v ꋓꊝꅇꂿꉂ/v ，/w ꀀ/v (ꍣ)ꊨꄅꀋꎪ/v ，/w ꀐꍰ/d {ꆅ}ꌒ{ꌬ}ꐓ/vu {ꇇ}ꀯꀀ/v ꀉꉙ...ꌋꆀꐯꌟ/a ꀊ/u {ꆅ}ꄻꁈ/n ，/w  [ꅽ] (ꃶ)ꊈ/r ꀊ/u ꉂꂿꉂ/n ꀒ/vl ꁮꁞ/a ꀊ/u ，/w ꀀ/v ꁧꏖ/v ，/w ꀀ/v ꂿꉂꀉꏮ/v ，/w ꉪ/n ꃅꈧ/v ꀒ/vl ꐯ/d ꊨꄅꅷ/a ꀊ/u ，/w ...ꇬꄉ/p ꃰꃅꑷꂿꃅꄡ/n ꇫꐥ/n {ꋍꑍ...}ꆏ(ꅇ)ꉉ/v ，/w {ꇇ}ꀯ/d ꐊ/v {ꃢꈜ}ꈚ/u ꀿ(ꀉꑳ)ꒆ/v ꀐ/u ꀉꁁꋍꑵꀋꎪ/a ꀊ/u "/w ꃰꃅꑷꂿꃅꄡ/n ꂿꀉꏮ/n "/w 。/w 
1517		 ...ꄮ/p {ꆅ}ꄻꁧ/v {ꃢꈜ}ꈚ/r ...ꅉ/q ꈩ/n ꀋꃋ/nt ，/w ꃹ/p  [ꅽ] (ꃶ)ꊈ/r ꃰꃅꑷꂿ ꃹ/a ꂿꀀ/n ꀊ/u ꀘꁁꑳ/n {ꉪꇩꏤꑵꉙ}ꃚꌐ/nd ，/w ꀉꄂ/d ꀞ/vu ꄅ/v ꁨꁖ/v {ꇇꊭ}ꈬꑳꐁꅉꁌꒉꀊꐎ/nh ꐋꀨ/n ꄻꁰꍋ/v ꀊ/u ꀉꆹ(ꅩ)ꅐꀉꇨꌠ/nh ꀊ/u "/w ꄆꒌ/n ꂿꈴꑓꑳ/n "/w ，/w {ꃢꈜ}ꈚ/r ꀉꄂ/d ꀃ/v "/w ꃰꃅꑷꂿ ꃅꄡ/n ꂿꀉꏮ/n "/w 。/w 
1518		 ꀋꃉ/d ꀂ/r ꃹ/p 讲/v ꀊ/u ꄮꇬ/n ，/w ꀎꈠꆺꇬ/d ꀂ/r ꀋꂿꑘ/vu {ꆅ}ꄻꁧ/v {ꃢꈜ}ꈚ/r ...ꅉ/q ꈩ/n ，/w ꀋꋪꃅꐙꃰꃅ/c ꀂ/r ꀉꄂ{ꌬ}ꐓ/c ꁁꏯꉉ/v ꁖ{ꋍꑍ...}ꆏ/vd ，/w  [ꅽ] (ꃶ)ꊈ/r ꄿꐨ/v ꀂ/r ꁁꏯꉉ/v ꀋꃋ/nt ꀎꋏꀒ/c {ꎆꃀ}ꃸꅐ/p ꅳꀧ/n ꄿꐨꁧ/v ꀐ/u ꀂ/r 讲/v ꀊ/u ꅇ/n ，/wꉈꑴꆏ/c ꀐꍰ/d ꐊ/v {ꃢꈜ}ꈚ/u {ꆅ}ꄻꁧ/v ꀂ/r ꂷ/u ꁁꏯꉉ/v ꀊ/u ꅇ/n 。/w 
1519		 ꀉꄂꀒ/c ，/w (ꍡ)ꑫꁰꄻꌧꃀ/n ꁰꄻ/v ꁖ{ꋍꑍ...}ꆏ/vd ꀊ/u ...ꅉꃤꆳ/n ꄂ{ꁱ}ꂷ/n ꀉꄂꀒ/d {ꉘꁮꑭꎖ}ꌐꄀꄯꁯꄊ/v ꀐ/u ꁰꄻꊿ/n ꉂꂿꉂ/n ꀊ/u ꀊꂥꇊꀊꂥ/d ꀁꑌ/a ꀊ/u ꀉꁁꋍꑵꄹꁆ/n ，/w ꀊꄸꄷ/c ꁰꍋꂷ/n ꅇꉉ/d ꋒꃅꀞ/v 从/p ꀁꑌ/n ꀊ/u 、/w ꀀꈍꈐ/a ꀊ/u ...ꅉꃤꆳ/n {ꄉ}ꄐ/nd ꀋꉊ/v ꅤ /v ，/w ꀋꉊ/v ꀉꑌ/a ，/w ꀥꇱ/v ꁰꄻꊿ/n ꍡꑫꀀ/d ꁰꄻ/v ꁖ{ꋍꑍ...}ꆏ/vd ꀊ/u ꄂ{ꁱ}ꂷ/n ，/w ꀋꃉ/d ꀀ{ꇇꊭ}ꈬꑳꐁꅉ/v  [ꅽ] /r ꂷ/u ꄻꁰꍋ/v ꀑꑊꀋꎪꌠ/n ꀊ/u ꇫꐥ/n 。/w 
1520		 ꀐꍰꀉꄂꀒ/d ꃹ/p  [ꅽ] /r (ꅇ)ꉉꅇ/v ꀋꋌꉬ/c ꄿꐨ/v ...ꌋꆀꐯꌟ...ꅉ/v ꁰꍋꂷ/n ꅇꉉ/v ꀋꃋ/nt ，/w ꀞ/vu ꀿ(ꀉꑳ)ꒆ/v ꀉꁁꋍꑵꀋꎪ/a ꀊ/u "/w ꃰꃅꑷꂿ ꃅꄡ/n ꀉꄂꀈꄼ /n "/w ，/w ꄉ/c ꁰꍋꂷ/n ꁰꍋꈩ/v ，/w ꀉꉙ/d ꀉꏮ/v ꇫꐥ/n ꀉꁁꋍꑵꇷꉻ/a ，/w ꀉꉙꀋꂿꑘ/vu ꈴ/v ꂿꉂ/v ，/w ꀊꄸꄷ/c ꁰꍋꂷ/n ꀋꂿꑘ/vu ꉈ/v ꁉ/v ꁰꄻ/v ꁓꐒ/k ꀊ/u ꂿꉂꀉꏮ/v ，/w ꀉꄂ{ꌬ}ꐓ/c ꄺꂡ/v {ꀀ}ꄓ/v ......ꄻ/n ꀊ/u ꇫꐥ/n ꁍ/n ，/w ꀐꍰ/d ꀉꉙ{ꌬ}ꐓ/vu ꀧꀊꋨꀋꃉ{ꋍꑍ...}ꆏ/i ，/w ꀊꄸꄷ/c ꈉ ꀋꂿꑘ/v ꉈ/v ꆫꍰ/v ꊭ/v ，/w ꀋꂿꑘ/vu ꁰꄻ/v ꎬꅧ/a ꌤꋬ/a ꀊ/u ꂿꃆ/n ，/w ꀱ/p ꂷ/u ꀋꂿꑘ/vu ꄻꁰꍋ/v ꀊ/u ꀑꑊꀋꎪꌠ/n ꀋꂿꑘ/vu 从/p ꅉꀋꐚ/v ꁧ/v ꀀ{ꉌꂵ}ꐯꇯꌠ/v ，/w 从/p {ꉌꂵ}ꐯꇯꌠ/v ꀊꋨ/u ꀉꉙ/d {ꏯ}ꀋꋌ /a ꁧ/v {ꉌꂵ}ꐯꇯꌠ/v ꀊꋨ/u ꄇꇖ/d {ꏯ}ꀋꋌ /a 。/w
1521		 ꀍꇤ{ꄷ}ꈨꀋꄸꄷ/i ꁁꏯꉉ/v ，/w  [ꅽ] (ꃶ)ꊈ/r {ꆅ}ꄻ过/v 《/w (ꎆ)ꆫꀉꒉꌠꀑꑊ/n 》/w ꀊ/u ꄆꒌ/n ，/w ꄻꁰꍋ/v ꀋꃋ/n ꀋꉬꀋꉆ/n ꀊ/u ꁧꎭ/nh ꃹ/p ꋌ/r ꀊ/u ꁰꄻ/v ꁱꄜꀞ/n {ꄉ}ꄐ/nd (ꅇ)ꉉ/v ，/w ꄆꒌ/n {ꄉ}ꄐ/nd ꀋꄸꄷ/v (ꑘꁨꌌ)ꑕ/n ꄻꀱ/n ꀉꁁꋍꑵ/m ...ꅉ/q ꈩ/n ，/w ꁧꎭ/nh ...ꇬꄑ/v {ꂽ}ꆾ/p ꈍꃅ/r ꀋꄸꄷ/v ꍧꀻ/n ꀋꇎ(ꑘꁨꌌ)ꑕ/v ꂯ/d ꀉꉙꀞ/vu ，/w ꃶꐚꃅ/d ꋌ/r {ꄐꅍ}ꀉꇨꀒ/d ꀋꇎ/p ꌥꏮ/n ꀍꇤ/v ꀐ/u ꀉꑌ/m ꂿꃅ/nt ꎻꈴ/n ，/w ꂱꂿꃅ/nt ꀉꉙꁧ/v ꃄꁕ/u ꀋꇎ(ꑘꁨꌌ)ꑕ/v 、/w ꀋꄸꄷ/v ꄻꀱ/n 。/w 
1522		  [ꅽ] /r {ꃢꈜ}ꈚ{ꄷ}ꈨ/r ꊸꑳ/n {ꂱꑱ}ꃅꄷ/nd ꍡꑫꀀ/v ꄟꀉꏮ/n ꀊ/u ꊭ/v ꀉꄂ/d ꁈꀋꐥ/d ...ꇬꃹꇁ...ꑘ/v ꁰꄻ/v 。/w 
1523		 ꄉ/c ꀊꄶꀋꃋ/r ꁰꍋ/v ꀊ/u 《/w ꀋꃋ/n {ꀀ}ꄓ{ꐙꄏ}ꐰ/v 》/w ，/w ꃹ/p ꁌꒉ{ꉪꇩꏤꑵꉙ}ꃚꌐ/v ...ꑘ/v ꆽꈜ/n ꂾ/nt ，/w ꀉꂥꇗꅉ/nh ꀋꂿꑘ/vu (ꀉꑳ)ꉂ/v ꀉꁁꋍꑵ/m ꅇꂷ/n "/w ꀂ/r ꀎꋏ/d ꀙꋌꅍ/v ꀙꋌꅍ/v  [ꅽ] /r "/w （/w "/w ꀙꋌꅍ/v ꀙꋌꅍ/v "/w ꀒ/vl {ꃮ}ꀠꀃꈈ/n {ꄉ}ꄐ/nd ꀋꂄ/n {ꇜꑳ}ꊩꌺꇇꈸ/n ꀦꏢ/v ...ꏭꇁꀑꑊ/n ꀊ/u ꇮꅇ/n ）/w ，/w {ꃢꈜ}ꈚꀋꃋ/r ꀊ/u ꁬꆰꀉꑌ/nh ，/w ꀋꂿꑘ/vu ꃹ/p ꃰꃅꑷꂿꃅꄡ/n ꇷꃨꆰꃨꊸ/a ꉋꇷꉋꉻ/n ꂱꏵ/a ꀊ/u ꀁꋌꒊꀯ/v {ꄉ}ꄐ/nd ꀱꀱ/v ꀉꂥꇗꅉ/nh "/w ...ꇨꀉꒉ/n  [ꅽ] /r ꀋꉊ/v ꁵ/v ꀊꆨꁱꅇ/n ，/w ꀂ/r ꃹ/p ꀊꄶꁨ/r ꆌ/v  [ꅽ] /r "/w ，/w ꁿꀈ꒜/v ꀦꏢ/v 。/w 
1524		 ꄽ/v ꋌ/r (ꅇ)ꉉ/v ：/w "/w  [ꅽ] /r ꀉꄉ/n ꀒ/vl {ꄷ}ꈨ/q ꎷꋩꇔꇷ/n ，/w ꃶꐚꃅ/d  [ꅽ] /r ꁢꊧꄲꃅ/r ꂁ/v {ꃢꈜ}ꈚ/u ꀉꉙ/d ꀠ/v ꀂ/r ？/w 
1525		  [ꅽ] /r ꀀ/v {ꃢꈜ}ꈚ/u  [ꅽ] /r ꀊ/u ꎷꋩꇔꇷ/n ꀉꄉ/n ꀞ/vu ꆸꅝ/v ꀐ/u  [ꅽ] /r ꀊ/uꀑꇬꀊꅰꃅ/n ꀞꅀ/u ？/w  
1526		  [ꅽ] /r ꀀ/v {ꃢꈜ}ꈚ/u ꄯꒉꀘꀑꑊ/n ꀉꄂ/d 比/p ꎷꋩꇔꇷ/n mur/a ꀋꇈꃅ/m ꆌ/q ꀞꅀ/u ？/w 
1527		 ꀂ/r ꂿꉂꁧ/v ꀉꁁꀑꑊ/r ꀋꇈ/p ꀂ/r ...ꄮ/v ꆫꀋꎪꌠ/n ，/w ꀂ/r ꀉꉙ{ꌬ}ꐓ/vu ꋰꄉ/v ：/w "/w  [ꅽ] /r ꁢꊧꄲꃅ/r ꀉꉙ/d ꀮ/v {ꄷ}ꈨ/q ꇴ/v ꀄꊭꀄꑐ/n ꀉꑳ/k ꀊ/u {ꐋꀨ}ꎹꉁꀠ/v ？/w 
1528		 ꀊꋾꇨꏀ/nh ꀊ/u {ꃅꇏ、ꃅꐨ}ꄸ...ꑘ/n ，/w ꀋꄸꄷ/v ꋌ/r ꅉꐚ/v ꀉꉙ{ꃰꃅ}ꇫꑟꇁ/a ꀋꇎ/c ꉮꃆꎭꃤ/n {ꂽ}ꏃꀋꂿꑘ/vu ꀀꇽ/v ꃹ/p ꀁꂱ/r ꀊ/u ꀔꎆꀑꑊ/n ꀂꏾ{ꉪꇩꏤꑵꉙ}ꃚꌐ/nl ꀐ/u ，/w {ꃢꈜ}ꈚꂒꅉ/r ꀉꁁꋍꑵꂯꄉ/d ꀒꃅꀒꇬꎷ/i ꀊ/u ...ꇨꀑꑊ/n ，/w ꋋꇅꇬ/nt 又ꀒ/vl ꀉꁁꋍꑵꀱꋌꐛꃅꐙ/i ，/w ꋌ/r ꀉꏮ/p ꀍꑐ/v ꀐ/u ꃶ/v ꀉꁁꋍꑵꇷꉻ/a ꇴ/v {ꃢꈜ}ꈚ/u ：/w "/w ꀨꁵ/p ꑍꊾꇰ/nh ꁳ/p  [ꅽ] /r ꀮ/v ꑘ/nhf {ꂓ}ꁱꀉꒉ/n ꀋꉊ/v ！/w "/w 
1529		 （/w ꋌ/r {ꍤ}ꅲ/v ꒉꁉ(ꀉꑳ)ꒆ/nhs ：/w "/w ꃆꇂꌩꀉꑳ/nhs ꀒ/vl ꈍꃅ/r ...ꑌ...ꑌ/v  [ꅽ] /r {ꋍꑍ...}ꆏ/vd ꀊ/u ？/w "/w
 1530		 ꅽꃅꑌ/nhs ꋽ/a ꃄꁕ/u {ꀍ}ꉞ/v ꀉꁁ/r ：/w "/w ꀊꄶ/r  [ꅽ] /r ꀉꒆꅉ/d ꀑꁮ/a 。/w "/w 
1531		 ꀂ/r {ꍤ}ꅲ/v ꁰꄻꌧꃀ/n ...ꇨ/h ꀙꊉ/nhf ：/w "/w  [ꅽ] /r ꀒ/vl ꌺꒉ/n ，/w ꃹ/p ꂽ/n ꀒ/vl ꀯꍈ /n ，/w (ꅇ)ꉉꅇ/v ꀐꍰ/d ꀉꉙ/d ꀂꏾ{ꎆꃀ}ꃸꅐ/v ？/w "/w 
1532		 ꄿꐨ/v {ꋚꂷ}ꁖꏯ/n ꀞꐕꀐ/v ꀋꇈꃅ/m ꈎꌋ/n ꀊꋨꃰꃅ/nt ，/w ...ꃅ/d ꀐꍰ/d "/w ꀉꉙꁢꊧ/d  [ꅽ] /r ꀉꉙ/d ꀋꎪ/v "/w {ꀀ}ꄓ{ꋍꑍ...}ꆏ/vd ！/w 
1533		 ꀉꁁꋍꑵ/m {ꄉ}ꄐꃅꈎ/nt ꀋꃋꁰꍋꂷ/n "/w ꇖ/v ꈎꌋ/n "/w ，/w {ꋚꂷ}ꁖꏯ/n (ꅇ)ꉉ/v ：/w "/w  [ꅽ] /r ꀒ/vl ꃹ/v ꆂꅳꁖ/n ꀀꃅ...ꃢꋌ/n ꀊ/u ꀑꇬ/n 。/w "/w 
